"blk","vty","nit","ino","bv.int","bn.int","bi.int","vn.int","vi.int","ni.int","bvn.int","bvi.int","bni.int","vni.int","infected","uninfected"
5,4,3,2,23,17,11,14,9,6,83,14,9,6,5,25
5,4,2,2,23,11,11,9,9,5,53,9,9,5,5,25
5,4,3,1,23,17,5,14,4,3,83,14,4,3,7,23
5,4,2,1,23,11,5,9,4,2,53,9,4,2,1,29
5,3,2,2,17,11,11,8,8,5,47,8,8,5,2,28
5,3,3,1,17,17,5,13,3,3,77,13,3,3,2,28
5,3,1,1,17,5,5,3,3,1,17,3,3,1,3,27
5,3,1,2,17,5,11,3,8,4,17,3,8,4,3,27
5,3,3,2,17,17,11,13,8,6,77,13,8,6,3,27
5,3,2,1,17,11,5,8,3,2,47,8,3,2,0,30
5,2,1,2,11,5,11,2,7,4,11,2,7,4,3,27
5,2,3,1,11,17,5,12,2,3,71,12,2,3,0,30
5,2,3,2,11,17,11,12,7,6,71,12,7,6,11,19
5,2,1,1,11,5,5,2,2,1,11,2,2,1,2,28
5,2,2,1,11,11,5,7,2,2,41,7,2,2,4,26
5,2,2,2,11,11,11,7,7,5,41,7,7,5,6,24
5,1,3,2,5,17,11,11,6,6,65,11,6,6,3,27
5,1,2,1,5,11,5,6,1,2,35,6,1,2,2,28
5,1,1,2,5,5,11,1,6,4,5,1,6,4,3,27
5,1,2,2,5,11,11,6,6,5,35,6,6,5,2,28
5,1,3,1,5,17,5,11,1,3,65,11,1,3,1,29
5,1,1,1,5,5,5,1,1,1,5,1,1,1,1,29
5,5,1,2,29,5,11,5,10,4,29,5,10,4,5,25
5,5,3,1,29,17,5,15,5,3,89,15,5,3,4,26
5,5,2,2,29,11,11,10,10,5,59,10,10,5,8,22
5,5,2,1,29,11,5,10,5,2,59,10,5,2,3,27
5,5,3,2,29,17,11,15,10,6,89,15,10,6,4,26
5,5,1,1,29,5,5,5,5,1,29,5,5,1,0,30
6,4,1,2,24,6,12,4,9,4,24,4,9,4,5,25
6,4,2,2,24,12,12,9,9,5,54,9,9,5,5,25
6,4,1,1,24,6,6,4,4,1,24,4,4,1,2,28
6,4,3,1,24,18,6,14,4,3,84,14,4,3,1,29
6,4,2,1,24,12,6,9,4,2,54,9,4,2,1,29
6,4,3,2,24,18,12,14,9,6,84,14,9,6,7,23
6,3,3,2,18,18,12,13,8,6,78,13,8,6,6,24
6,3,1,2,18,6,12,3,8,4,18,3,8,4,5,25
6,3,2,2,18,12,12,8,8,5,48,8,8,5,3,27
6,3,3,1,18,18,6,13,3,3,78,13,3,3,1,29
6,3,1,1,18,6,6,3,3,1,18,3,3,1,1,29
6,3,2,1,18,12,6,8,3,2,48,8,3,2,4,26
6,1,2,2,6,12,12,6,6,5,36,6,6,5,4,26
6,1,2,1,6,12,6,6,1,2,36,6,1,2,0,30
6,1,3,1,6,18,6,11,1,3,66,11,1,3,4,26
6,1,3,2,6,18,12,11,6,6,66,11,6,6,8,22
6,1,1,2,6,6,12,1,6,4,6,1,6,4,2,28
6,1,1,1,6,6,6,1,1,1,6,1,1,1,1,29
6,5,3,2,30,18,12,15,10,6,90,15,10,6,5,25
6,5,3,1,30,18,6,15,5,3,90,15,5,3,2,28
6,5,1,2,30,6,12,5,10,4,30,5,10,4,3,27
6,5,2,2,30,12,12,10,10,5,60,10,10,5,7,23
6,5,2,1,30,12,6,10,5,2,60,10,5,2,1,29
6,5,1,1,30,6,6,5,5,1,30,5,5,1,1,29
6,2,1,1,12,6,6,2,2,1,12,2,2,1,4,26
6,2,3,2,12,18,12,12,7,6,72,12,7,6,5,25
6,2,1,2,12,6,12,2,7,4,12,2,7,4,3,27
6,2,2,2,12,12,12,7,7,5,42,7,7,5,5,25
6,2,2,1,12,12,6,7,2,2,42,7,2,2,3,27
6,2,3,1,12,18,6,12,2,3,72,12,2,3,3,27
